Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Title,Subtitle,Translation,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Begin date,Begin date,Date:creation,Date:creation,End date,End date,File name 2,File use 2,Identifier:filename,Identifier:filename,Note:local attribution,Note:note,Note:note,Note:note,Note:note,Note:publication,Note:publication,Note:series,Note:series,Subject:topic
http://library.ucsd.edu/ark:/20775/bb61786235,Object,20775-bb61786235-0-1.pdf,document-service,text,,Triton Times,,,,Daily Guardian,The Guardian,Guardian,UCSD Guardian,,,,,,,,,,,,,1975-04-11,,"April 11, 1975",,1975-04-11,,20775-bb61786235-0-2.tgz,document-source,VOLUME25_ISSUE6_FRIDAYAPRIL11_1975.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 25, Issue 6",,
http://library.ucsd.edu/ark:/20775/bb31751777,Object,20775-bb31751777-0-1.pdf,document-service,text,,UCSD Guardian,,,,The Guardian,Daily Guardian,Triton Times,Guardian,,,,,,,,,,,,,1989-03-13,,"March 13, 1989",,1989-03-13,,20775-bb31751777-0-2.tgz,document-source,VOLUME66_ISSUE20_MONDAYMARCH13_1989.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 66, Issue 20",,
http://library.ucsd.edu/ark:/20775/bb38236534,Object,20775-bb38236534-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,Guardian,The Guardian,Triton Times,,,,,,,,,,,,,1986-02-24,,"February 24, 1986",,1986-02-24,,20775-bb38236534-0-2.tgz,document-source,VOLUME57_ISSUE15_MONDAYFEBRUARY24_1986.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 57, Issue 15",,
http://library.ucsd.edu/ark:/20775/bb89431563,Object,20775-bb89431563-0-1.pdf,document-service,text,,UCSD Guardian,,,,Guardian,Daily Guardian,Triton Times,The Guardian,,,,,,,,,,,,,1992-10-26,,"October 26, 1992",,1992-10-26,,20775-bb89431563-0-2.tgz,document-source,VOLUME77_ISSUE10_MONDAYOCTOBER26_1992.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 77, Issue 10",,
http://library.ucsd.edu/ark:/20775/bb2970399h,Object,20775-bb2970399h-0-1.pdf,document-service,text,,Triton Times,,,,Guardian,Daily Guardian,UCSD Guardian,The Guardian,,,,,,,,,,,,,1972-04-07,,"April 7, 1972",,1972-04-07,,20775-bb2970399h-0-2.tgz,document-source,VOLUME16_ISSUE4_FRIDAYAPRIL7_1972.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 16, Issue 4",,
http://library.ucsd.edu/ark:/20775/bb5905575q,Object,20775-bb5905575q-0-1.pdf,document-service,text,,UCSD Guardian,,,,Triton Times,Guardian,The Guardian,Daily Guardian,,,,,,,,,,,,,2005-04-11,,"April 11, 2005",,2005-04-11,,20775-bb5905575q-0-2.tgz,document-source,VOLUME115_ISSUE5_MONDAYAPRIL11_2005.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 115, Issue 5",,
http://library.ucsd.edu/ark:/20775/bb7304909b,Object,20775-bb7304909b-0-1.pdf,document-service,text,,UCSD Guardian,,,,Guardian,The Guardian,Daily Guardian,Triton Times,,,,,,,,,,,,,1983-10-27,,"October 27, 1983",,1983-10-27,,20775-bb7304909b-0-2.tgz,document-source,VOLUME50_ISSUE11_THURSDAYOCTOBER27_1983.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 50, Issue 11",,
http://library.ucsd.edu/ark:/20775/bb3004531k,Object,20775-bb3004531k-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,Guardian,Triton Times,The Guardian,,,,,,,,,,,,,1999-09-28,,"September 28, 1999",,1999-09-28,,20775-bb3004531k-0-2.tgz,document-source,VOLUME98_ISSUE1_TUESDAYSEPTEMBER28_1999.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 98, Issue 1",,
http://library.ucsd.edu/ark:/20775/bb4574512t,Object,20775-bb4574512t-0-1.pdf,document-service,text,,UCSD Guardian,,,,Triton Times,Daily Guardian,Guardian,The Guardian,,,,,,,,,,,,,1996-05-30,,"May 30, 1996",,1996-05-30,,20775-bb4574512t-0-2.tgz,document-source,VOLUME88_ISSUE18_THURSDAYMAY30_1996.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 88, Issue 18",,
http://library.ucsd.edu/ark:/20775/bb5769062p,Object,20775-bb5769062p-0-1.pdf,document-service,text,,Daily Guardian,,,,Guardian,Triton Times,UCSD Guardian,The Guardian,,,,,,,,,,,,,1979-10-31,,"October 31, 1979",,1979-10-31,,20775-bb5769062p-0-2.tgz,document-source,VOLUME38_ISSUE29_WEDNESDAYOCTOBER31_1979.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 38, Issue 29",,
http://library.ucsd.edu/ark:/20775/bb62810108,Object,20775-bb62810108-0-1.pdf,document-service,text,,Triton Times,,,,Daily Guardian,UCSD Guardian,Guardian,The Guardian,,,,,,,,,,,,,1970-12-01,,"December 1, 1970",,1970-12-01,,20775-bb62810108-0-2.tgz,document-source,VOLUME11_ISSUE19_TUESDAYDECEMBER1_1970.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 11, Issue 19",,
http://library.ucsd.edu/ark:/20775/bb07519473,Object,20775-bb07519473-0-1.pdf,document-service,text,,Triton Times,,,,The Guardian,UCSD Guardian,Guardian,Daily Guardian,,,,,,,,,,,,,1977-06-10,,"June 10, 1977",,1977-06-10,,20775-bb07519473-0-2.tgz,document-source,VOLUME31_ISSUE29_FRIDAYJUNE10_1977.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 31, Issue 29",,
