Begin date,Object Unique ID
1997-10-19,http://library.ucsd.edu/ark:/20775/bb80900812
1977-08-22,http://library.ucsd.edu/ark:/20775/bb9045724b
1984-05-14,http://library.ucsd.edu/ark:/20775/bb1776015q
1996-03-19,http://library.ucsd.edu/ark:/20775/bb89091892
1991-06-27,http://library.ucsd.edu/ark:/20775/bb15030002
1990-10-15,http://library.ucsd.edu/ark:/20775/bb23903577
1973-05-25,http://library.ucsd.edu/ark:/20775/bb2595141h
1994-05-04,http://library.ucsd.edu/ark:/20775/bb5257297p
1969-04-21,http://library.ucsd.edu/ark:/20775/bb6861395c
1996-04-30,http://library.ucsd.edu/ark:/20775/bb13664545
1991-10-22,http://library.ucsd.edu/ark:/20775/bb2014940d
1986-02-10,http://library.ucsd.edu/ark:/20775/bb0240175d
1973-03-23,http://library.ucsd.edu/ark:/20775/bb4199251b
1970-04-24,http://library.ucsd.edu/ark:/20775/bb90798473
1979-03-12,http://library.ucsd.edu/ark:/20775/bb7475745q
1990-03-05,http://library.ucsd.edu/ark:/20775/bb4199250t
1970-02-24,http://library.ucsd.edu/ark:/20775/bb4062750p
1990-08-03,http://library.ucsd.edu/ark:/20775/bb3823827n
1990-06-17,http://library.ucsd.edu/ark:/20775/bb4779457n
1970-02-28,http://library.ucsd.edu/ark:/20775/bb0240174w
1992-01-08,http://library.ucsd.edu/ark:/20775/bb2526885d
1997-10-30,http://library.ucsd.edu/ark:/20775/bb2834051w
1985-09-30,http://library.ucsd.edu/ark:/20775/bb2390356q
1993-03-15,http://library.ucsd.edu/ark:/20775/bb77487717
1971-01-21,http://library.ucsd.edu/ark:/20775/bb9318761v
1963-01-14,http://library.ucsd.edu/ark:/20775/bb8499628k
1993-08-20,http://library.ucsd.edu/ark:/20775/bb78853005
1968-10-09,http://library.ucsd.edu/ark:/20775/bb40968692
1977-12-22,http://library.ucsd.edu/ark:/20775/bb6622492g
1969-07-11,http://library.ucsd.edu/ark:/20775/bb1332343x
1991-04-12,http://library.ucsd.edu/ark:/20775/bb52572986
1992-03-19,http://library.ucsd.edu/ark:/20775/bb1229935b
1981-05-18,http://library.ucsd.edu/ark:/20775/bb7441618k
1997-07-03,http://library.ucsd.edu/ark:/20775/bb66224930
1987-02-23,http://library.ucsd.edu/ark:/20775/bb9079846k
1984-09-25,http://library.ucsd.edu/ark:/20775/bb22538418
1973-05-29,http://library.ucsd.edu/ark:/20775/bb5530337m
1990-03-02,http://library.ucsd.edu/ark:/20775/bb60764102
1988-09-01,http://library.ucsd.edu/ark:/20775/bb0342559g
1976-05-03,http://library.ucsd.edu/ark:/20775/bb9318762c
1960-06-06,http://library.ucsd.edu/ark:/20775/bb1229934t
1974-05-20,http://library.ucsd.edu/ark:/20775/bb5939879x
1971-02-02,http://library.ucsd.edu/ark:/20775/bb90457208
1969-09-15,http://library.ucsd.edu/ark:/20775/bb1332344f
1974-10-03,http://library.ucsd.edu/ark:/20775/bb5257295n
1977-06-08,http://library.ucsd.edu/ark:/20775/bb6861393b
1974-02-07,http://library.ucsd.edu/ark:/20775/bb0240177f
1994-09-28,http://library.ucsd.edu/ark:/20775/bb2014942f
1964-10-26,http://library.ucsd.edu/ark:/20775/bb23903598
1970-08-25,http://library.ucsd.edu/ark:/20775/bb2595143j
1999-04-22,http://library.ucsd.edu/ark:/20775/bb90798452
1969-04-08,http://library.ucsd.edu/ark:/20775/bb2526882v
1995-01-18,http://library.ucsd.edu/ark:/20775/bb65200952
1989-01-11,http://library.ucsd.edu/ark:/20775/bb4096864g
1995-01-30,http://library.ucsd.edu/ark:/20775/bb6110524n
1968-09-30,http://library.ucsd.edu/ark:/20775/bb87726707
1980-05-19,http://library.ucsd.edu/ark:/20775/bb84996293
1981-04-06,http://library.ucsd.edu/ark:/20775/bb4096863z
1968-07-22,http://library.ucsd.edu/ark:/20775/bb6076411k
1974-10-28,http://library.ucsd.edu/ark:/20775/bb46088131
1980-01-23,http://library.ucsd.edu/ark:/20775/bb2526883c
1992-04-24,http://library.ucsd.edu/ark:/20775/bb25951442
1970-06-17,http://library.ucsd.edu/ark:/20775/bb6861392t
1962-02-05,http://library.ucsd.edu/ark:/20775/bb0240176x
1994-07-11,http://library.ucsd.edu/ark:/20775/bb2390358r
1972-03-23,http://library.ucsd.edu/ark:/20775/bb9318763w
1966-01-31,http://library.ucsd.edu/ark:/20775/bb1195826k
1998-02-27,http://library.ucsd.edu/ark:/20775/bb0342556x
1966-08-02,http://library.ucsd.edu/ark:/20775/bb52572965
1991-02-28,http://library.ucsd.edu/ark:/20775/bb78853026
1990-03-27,http://library.ucsd.edu/ark:/20775/bb5939878d
1969-05-06,http://library.ucsd.edu/ark:/20775/bb6622490f
1966-05-25,http://library.ucsd.edu/ark:/20775/bb8499626j
1986-03-27,http://library.ucsd.edu/ark:/20775/bb6520092h
1963-09-13,http://library.ucsd.edu/ark:/20775/bb60764123
1989-01-24,http://library.ucsd.edu/ark:/20775/bb9079844j
1976-05-03,http://library.ucsd.edu/ark:/20775/bb61105255
1986-09-25,http://library.ucsd.edu/ark:/20775/bb3380139b
1990-10-22,http://library.ucsd.edu/ark:/20775/bb5939877w
1996-10-04,http://library.ucsd.edu/ark:/20775/bb9318764d
1992-09-14,http://library.ucsd.edu/ark:/20775/bb1229932s
1973-01-16,http://library.ucsd.edu/ark:/20775/bb7748772r
1983-06-14,http://library.ucsd.edu/ark:/20775/bb5325542d
1998-10-26,http://library.ucsd.edu/ark:/20775/bb46770811
1978-03-30,http://library.ucsd.edu/ark:/20775/bb5257293m
1990-04-12,http://library.ucsd.edu/ark:/20775/bb0308432d
1967-04-12,http://library.ucsd.edu/ark:/20775/bb0240179g
1997-07-24,http://library.ucsd.edu/ark:/20775/bb2526881b
1989-01-19,http://library.ucsd.edu/ark:/20775/bb4199254w
1991-03-19,http://library.ucsd.edu/ark:/20775/bb0240178z
1990-05-04,http://library.ucsd.edu/ark:/20775/bb2765798s
1986-08-26,http://library.ucsd.edu/ark:/20775/bb55303342
1978-02-09,http://library.ucsd.edu/ark:/20775/bb5325541w
1991-11-25,http://library.ucsd.edu/ark:/20775/bb87726728
1974-02-07,http://library.ucsd.edu/ark:/20775/bb21855731
1972-04-21,http://library.ucsd.edu/ark:/20775/bb91139872
1996-04-01,http://library.ucsd.edu/ark:/20775/bb9625917m
1985-05-13,http://library.ucsd.edu/ark:/20775/bb21855752
1978-04-24,http://library.ucsd.edu/ark:/20775/bb52572944
1960-10-21,http://library.ucsd.edu/ark:/20775/bb3755555b
1992-05-12,http://library.ucsd.edu/ark:/20775/bb77487759
1977-11-17,http://library.ucsd.edu/ark:/20775/bb5530333j
1964-01-31,http://library.ucsd.edu/ark:/20775/bb68613919
1979-01-05,http://library.ucsd.edu/ark:/20775/bb27657999
1988-03-22,http://library.ucsd.edu/ark:/20775/bb66224972
1984-05-21,http://library.ucsd.edu/ark:/20775/bb2117319h
1968-03-14,http://library.ucsd.edu/ark:/20775/bb0308433x
1969-01-06,http://library.ucsd.edu/ark:/20775/bb7748774s
1974-01-04,http://library.ucsd.edu/ark:/20775/bb4199253c
1998-05-06,http://library.ucsd.edu/ark:/20775/bb2970567x
1972-05-19,http://library.ucsd.edu/ark:/20775/bb90798494
1974-10-28,http://library.ucsd.edu/ark:/20775/bb8772673s
1965-10-13,http://library.ucsd.edu/ark:/20775/bb5325540c
1972-03-06,http://library.ucsd.edu/ark:/20775/bb6827269h
1966-11-24,http://library.ucsd.edu/ark:/20775/bb5257291k
1964-05-04,http://library.ucsd.edu/ark:/20775/bb4028594r
1979-12-21,http://library.ucsd.edu/ark:/20775/bb2970568f
1965-08-10,http://library.ucsd.edu/ark:/20775/bb55303363
1985-03-06,http://library.ucsd.edu/ark:/20775/bb65200910
1971-06-25,http://library.ucsd.edu/ark:/20775/bb4199252v
1970-04-02,http://library.ucsd.edu/ark:/20775/bb87726749
1990-10-17,http://library.ucsd.edu/ark:/20775/bb4096868j
1995-02-21,http://library.ucsd.edu/ark:/20775/bb52572923
1998-03-04,http://library.ucsd.edu/ark:/20775/bb1229937c
1985-03-05,http://library.ucsd.edu/ark:/20775/bb9625919n
1962-01-30,http://library.ucsd.edu/ark:/20775/bb2390354p
1962-01-18,http://library.ucsd.edu/ark:/20775/bb3755557c
1993-05-25,http://library.ucsd.edu/ark:/20775/bb9318760b
1993-10-08,http://library.ucsd.edu/ark:/20775/bb3755556v
1973-04-16,http://library.ucsd.edu/ark:/20775/bb1229936v
1992-02-25,http://library.ucsd.edu/ark:/20775/bb40285958
1977-11-14,http://library.ucsd.edu/ark:/20775/bb5530335k
1991-03-22,http://library.ucsd.edu/ark:/20775/bb8772671r
1980-02-25,http://library.ucsd.edu/ark:/20775/bb9079848m
1999-01-04,http://library.ucsd.edu/ark:/20775/bb27657957
1995-04-13,http://library.ucsd.edu/ark:/20775/bb49842499
1971-12-15,http://library.ucsd.edu/ark:/20775/bb95918017
1991-10-07,http://library.ucsd.edu/ark:/20775/bb24586236
1994-09-13,http://library.ucsd.edu/ark:/20775/bb5052501t
1999-04-19,http://library.ucsd.edu/ark:/20775/bb7987686n
1985-10-07,http://library.ucsd.edu/ark:/20775/bb2731656k
1971-02-25,http://library.ucsd.edu/ark:/20775/bb8260723w
1985-02-07,http://library.ucsd.edu/ark:/20775/bb99672327
1986-06-26,http://library.ucsd.edu/ark:/20775/bb91822388
1968-02-12,http://library.ucsd.edu/ark:/20775/bb03084391
1998-12-11,http://library.ucsd.edu/ark:/20775/bb52914256
1996-04-29,http://library.ucsd.edu/ark:/20775/bb7748765t
1969-03-05,http://library.ucsd.edu/ark:/20775/bb9557658b
1993-09-22,http://library.ucsd.edu/ark:/20775/bb9591800q
1996-10-04,http://library.ucsd.edu/ark:/20775/bb2356248s
1985-10-28,http://library.ucsd.edu/ark:/20775/bb2458622p
1999-03-18,http://library.ucsd.edu/ark:/20775/bb8260722c
1963-06-05,http://library.ucsd.edu/ark:/20775/bb66224883
1981-02-02,http://library.ucsd.edu/ark:/20775/bb51548858
1997-06-23,http://library.ucsd.edu/ark:/20775/bb25268909
1970-02-18,http://library.ucsd.edu/ark:/20775/bb2765794q
1990-10-25,http://library.ucsd.edu/ark:/20775/bb9557657t
1980-10-14,http://library.ucsd.edu/ark:/20775/bb6827274d
1993-06-16,http://library.ucsd.edu/ark:/20775/bb5939882s
1986-01-24,http://library.ucsd.edu/ark:/20775/bb64518260
1992-05-15,http://library.ucsd.edu/ark:/20775/bb9182237r
1997-03-17,http://library.ucsd.edu/ark:/20775/bb68955203
1969-10-22,http://library.ucsd.edu/ark:/20775/bb2014948j
1980-04-25,http://library.ucsd.edu/ark:/20775/bb5291424p
1963-08-24,http://library.ucsd.edu/ark:/20775/bb79194130
1994-02-04,http://library.ucsd.edu/ark:/20775/bb0308436g
1976-01-15,http://library.ucsd.edu/ark:/20775/bb68272790
1991-02-01,http://library.ucsd.edu/ark:/20775/bb27316594
1992-04-09,http://library.ucsd.edu/ark:/20775/bb99672306
1997-02-03,http://library.ucsd.edu/ark:/20775/bb55303321
1969-03-07,http://library.ucsd.edu/ark:/20775/bb03084370
1983-02-03,http://library.ucsd.edu/ark:/20775/bb52914235
1964-12-07,http://library.ucsd.edu/ark:/20775/bb6827278g
1991-11-27,http://library.ucsd.edu/ark:/20775/bb9694200m
1990-03-22,http://library.ucsd.edu/ark:/20775/bb2731658m
1979-02-16,http://library.ucsd.edu/ark:/20775/bb7509878h
1971-04-21,http://library.ucsd.edu/ark:/20775/bb91822367
1984-07-23,http://library.ucsd.edu/ark:/20775/bb6827277z
1986-12-18,http://library.ucsd.edu/ark:/20775/bb66224862
1999-09-01,http://library.ucsd.edu/ark:/20775/bb8977462n
1995-09-08,http://library.ucsd.edu/ark:/20775/bb2356246r
1971-04-16,http://library.ucsd.edu/ark:/20775/bb8260724d
1988-10-10,http://library.ucsd.edu/ark:/20775/bb74757404
1985-05-28,http://library.ucsd.edu/ark:/20775/bb2458620n
1995-04-19,http://library.ucsd.edu/ark:/20775/bb3823821j
1987-07-09,http://library.ucsd.edu/ark:/20775/bb6827276f
1990-04-11,http://library.ucsd.edu/ark:/20775/bb7987684m
1970-03-31,http://library.ucsd.edu/ark:/20775/bb38238222
1997-01-27,http://library.ucsd.edu/ark:/20775/bb5939880r
1979-05-17,http://library.ucsd.edu/ark:/20775/bb1298219j
1991-04-10,http://library.ucsd.edu/ark:/20775/bb96942014
1988-02-05,http://library.ucsd.edu/ark:/20775/bb5154886s
1988-05-02,http://library.ucsd.edu/ark:/20775/bb28340570
1965-10-18,http://library.ucsd.edu/ark:/20775/bb61105276
1991-04-22,http://library.ucsd.edu/ark:/20775/bb5052505w
1988-08-26,http://library.ucsd.edu/ark:/20775/bb27316531
1998-01-20,http://library.ucsd.edu/ark:/20775/bb65200842
1992-09-25,http://library.ucsd.edu/ark:/20775/bb27657915
1983-01-31,http://library.ucsd.edu/ark:/20775/bb43357719
1999-09-30,http://library.ucsd.edu/ark:/20775/bb47794564
1965-12-03,http://library.ucsd.edu/ark:/20775/bb95918059
1991-05-13,http://library.ucsd.edu/ark:/20775/bb7748769w
1981-02-02,http://library.ucsd.edu/ark:/20775/bb91822346
1992-12-22,http://library.ucsd.edu/ark:/20775/bb74757425
1985-04-29,http://library.ucsd.edu/ark:/20775/bb99672369
1997-03-19,http://library.ucsd.edu/ark:/20775/bb2834055z
1998-05-05,http://library.ucsd.edu/ark:/20775/bb5120759n
1971-05-27,http://library.ucsd.edu/ark:/20775/bb6827270b
1975-11-20,http://library.ucsd.edu/ark:/20775/bb5939886v
1974-06-28,http://library.ucsd.edu/ark:/20775/bb2014943z
1990-03-13,http://library.ucsd.edu/ark:/20775/bb8943320f
1970-02-12,http://library.ucsd.edu/ark:/20775/bb6349442p
1999-01-05,http://library.ucsd.edu/ark:/20775/bb6110526p
1988-11-18,http://library.ucsd.edu/ark:/20775/bb2765790n
1971-04-29,http://library.ucsd.edu/ark:/20775/bb7475741n
1966-01-11,http://library.ucsd.edu/ark:/20775/bb5154888t
1970-04-08,http://library.ucsd.edu/ark:/20775/bb7851160c
1971-01-20,http://library.ucsd.edu/ark:/20775/bb9967233r
1977-02-03,http://library.ucsd.edu/ark:/20775/bb7987682k
1963-05-20,http://library.ucsd.edu/ark:/20775/bb9182233p
1971-02-08,http://library.ucsd.edu/ark:/20775/bb2014944g
1992-12-03,http://library.ucsd.edu/ark:/20775/bb5154889b
1965-06-23,http://library.ucsd.edu/ark:/20775/bb63494436
1973-09-14,http://library.ucsd.edu/ark:/20775/bb61105297
1985-03-21,http://library.ucsd.edu/ark:/20775/bb28340591
1971-04-06,http://library.ucsd.edu/ark:/20775/bb74757446
1992-04-01,http://library.ucsd.edu/ark:/20775/bb20149471
