Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb8465811k,2013-04-04,"April 4, 2013",2013-04-04,UCSD Guardian,28,5,13564
http://library.ucsd.edu/ark:/20775/bb20147610,1994-05-12,"May 12, 1994",1994-05-12,UCSD Guardian,21,11,20993
http://library.ucsd.edu/ark:/20775/bb1298030z,1980-04-04,"April 4, 1980",1980-04-04,Daily Guardian,55,0,14711
http://library.ucsd.edu/ark:/20775/bb4574517d,2004-01-15,"January 15, 2004",2004-01-15,UCSD Guardian,14,19,19529
http://library.ucsd.edu/ark:/20775/bb7646212f,1987-06-04,"June 4, 1987",1987-06-04,UCSD Guardian,49,13,26212
http://library.ucsd.edu/ark:/20775/bb58373251,1997-03-06,"March 6, 1997",1997-03-06,UCSD Guardian,77,13,26372
http://library.ucsd.edu/ark:/20775/bb2868009d,2004-11-08,"November 8, 2004",2004-11-08,UCSD Guardian,25,12,20481
http://library.ucsd.edu/ark:/20775/bb1298031g,1990-11-16,"November 16, 1990",1990-11-16,UCSD Guardian,36,16,21182
http://library.ucsd.edu/ark:/20775/bb4779291k,1991-03-04,"March 4, 1991",1991-03-04,UCSD Guardian,62,8,22908
http://library.ucsd.edu/ark:/20775/bb0820209v,1997-03-13,"March 13, 1997",1997-03-13,UCSD Guardian,68,4,23051
http://library.ucsd.edu/ark:/20775/bb4403861n,2000-05-18,"May 18, 2000",2000-05-18,UCSD Guardian,66,30,25533
http://library.ucsd.edu/ark:/20775/bb8875015t,2009-09-22,"September 22, 2009",2009-09-22,UCSD Guardian,61,12,27997
http://library.ucsd.edu/ark:/20775/bb14005478,2009-05-18,"May 18, 2009",2009-05-18,UCSD Guardian,15,7,17230
http://library.ucsd.edu/ark:/20775/bb7646211x,2003-06-05,"June 5, 2003",2003-06-05,UCSD Guardian,86,34,45370
http://library.ucsd.edu/ark:/20775/bb8124027m,2006-05-04,"May 4, 2006",2006-05-04,UCSD Guardian,26,15,11947
http://library.ucsd.edu/ark:/20775/bb6827090d,1978-11-27,"November 27, 1978",1978-11-27,Guardian,34,14,14507
http://library.ucsd.edu/ark:/20775/bb12980320,1989-04-24,"April 24, 1989",1989-04-24,UCSD Guardian,59,16,23522
http://library.ucsd.edu/ark:/20775/bb2868008w,1992-11-12,"November 12, 1992",1992-11-12,UCSD Guardian,64,3,27439
http://library.ucsd.edu/ark:/20775/bb14004228,1982-02-04,"February 4, 1982",1982-02-04,UCSD Guardian,107,3,18189
http://library.ucsd.edu/ark:/20775/bb2356060q,1977-04-18,"April 18, 1977",1977-04-18,Triton Times,31,2,17824
http://library.ucsd.edu/ark:/20775/bb85335873,1977-05-13,"May 13, 1977",1977-05-13,Triton Times,22,0,8337
http://library.ucsd.edu/ark:/20775/bb5837324h,2000-11-14,"November 14, 2000",2000-11-14,UCSD Guardian,55,7,22199
http://library.ucsd.edu/ark:/20775/bb65200465,2011-10-20,"October 20, 2011",2011-10-20,UCSD Guardian,12,2,12444
http://library.ucsd.edu/ark:/20775/bb69636130,1999-05-27,"May 27, 1999",1999-05-27,UCSD Guardian,34,23,17517
http://library.ucsd.edu/ark:/20775/bb72025169,1970-05-05,"May 5, 1970",1970-05-05,Triton Times,46,2,8011
http://library.ucsd.edu/ark:/20775/bb23560638,2000-04-20,"April 20, 2000",2000-04-20,UCSD Guardian,36,4,19450
http://library.ucsd.edu/ark:/20775/bb0751948m,1971-04-20,"April 20, 1971",1971-04-20,Triton Times,41,6,12959
http://library.ucsd.edu/ark:/20775/bb09909869,2010-04-15,"April 15, 2010",2010-04-15,UCSD Guardian,26,10,14232
